train_loss,val_loss,val_acc
0.9007108589972962,1.042883731141875,0.7004
0.8275615405291319,1.0151288690446298,0.702
0.7904846023937518,0.9548869231079198,0.7182
0.7494609114629301,0.9497969142998322,0.7204
0.7182581373490393,0.9210295601736141,0.7282
0.6959023351611738,0.9195480150512502,0.7298
0.6742987840182402,0.9099689744695832,0.7364
0.6556188826110553,0.8802510096302515,0.7406
0.6337286598387767,0.865313093873519,0.7408
0.6129513070495292,0.8589829915686499,0.751
0.5930739195001397,0.8639763457865655,0.7474
0.5795495368709619,0.8220701685434655,0.7504
0.5640607298013162,0.8341004878659791,0.7546
0.5458474175538868,0.8219865236101271,0.7528
0.5302203113678843,0.8235615548453753,0.7558
