train_loss,val_loss,val_acc
0.36405404134314845,0.7282115794435332,0.7804
0.3102488156450404,0.7040454343527178,0.7876
0.2809248754479499,0.7022368225115764,0.7928
0.25556466772898356,0.6829346712631515,0.7966
0.23425474485636436,0.6745836987525602,0.7976
0.21425841611132704,0.6911448287435725,0.7978
0.19908697269221937,0.6857643440554414,0.7964
0.1838048717948947,0.6879410860659201,0.7938
0.17227345245720987,0.6735553450976746,0.7984
0.1593290658678267,0.6833960361118558,0.7998
0.14674974384251982,0.6828636983527413,0.802
0.1356576906559481,0.6812140434225903,0.8078
0.12661376422990792,0.678362110936189,0.8044
0.1181786694902588,0.6806414449893976,0.807
0.1094789681903256,0.7009180644644967,0.8008
