train_loss,val_loss,val_acc
0.2763087407220155,0.30573535380484185,0.8932
0.24359550140268932,0.281497545186666,0.9034
0.22208549578102643,0.2635542497840486,0.9066
0.20857539973539216,0.2512765545633775,0.9118
0.19113076144342564,0.24190323092514956,0.9142
0.17731206892693246,0.23775284350672854,0.9198
0.16848699520977045,0.22016040882968071,0.9238
0.1588269957177214,0.2237383189693659,0.923
0.14976595764164813,0.21165750868901423,0.9298
0.14148797717114742,0.2140562586674962,0.9268
0.1333079434883654,0.20856144767301746,0.9276
0.12952082717939364,0.19668996390662616,0.9298
0.121397749846272,0.20239670544013946,0.9328
0.11660834952702069,0.19459775753932285,0.9308
0.10984632176537575,0.18591617836463678,0.9356
