train_loss,val_loss,val_acc
0.10595006186684425,0.15998978634538788,0.9422
0.07930457307851281,0.15592704880083735,0.9446
0.067306038180091,0.15502475364475593,0.9426
0.05509458724885586,0.15041670026817608,0.9488
0.04662778344672089,0.14386634581060667,0.9458
0.04195101045876403,0.1391457186221982,0.9534
0.035208420436406,0.14152316726954903,0.9508
0.030728330997094003,0.13869642427108617,0.9536
0.028014156755737284,0.13638926106888236,0.9524
0.023709401506824757,0.14477660002435935,0.954
0.020572186519116673,0.13932845941055833,0.9522
0.018837835899003865,0.1467769684034615,0.953
0.015889026780231772,0.1498710609047049,0.955
0.015477783705467697,0.1439288549712429,0.9532
0.013642333646368405,0.14271007605409838,0.9516
